name,teacherName,schoolName,schoolSN,id,url
DevOps导论,荣国平,南京大学,NJU,1003664002,https://www.icourse163.org/course/NJU-1003664002
数据库系统概论（基础篇）,王珊,中国人民大学,RUC,488001,https://www.icourse163.org/course/RUC-488001
计算机网络实验,张力军,北京航空航天大学,BUAA,1002744004,https://www.icourse163.org/course/BUAA-1002744004
面向对象程序设计（C++）,董晓梅,东北大学,NEU,1002533009,https://www.icourse163.org/course/NEU-1002533009
游戏引擎原理及应用,韩红雷,中国传媒大学,CUC,1450317378,https://www.icourse163.org/course/CUC-1450317378
Python编程基础,王恺,南开大学,NKU,1205696807,https://www.icourse163.org/course/NKU-1205696807
计算机硬件技术基础,柳秀梅,东北大学,NEU,1002125002,https://www.icourse163.org/course/NEU-1002125002
C君带你玩编程,方娇莉,昆明理工大学,KMUST,1002355002,https://www.icourse163.org/course/KMUST-1002355002
软件度量及应用,杨柳,中南大学,CSU,1001907005,https://www.icourse163.org/course/CSU-1001907005
程序设计综合实验,刘瑞芳,北京邮电大学,BUPT,1003561002,https://www.icourse163.org/course/BUPT-1003561002
计算机系统基础(一)：程序的表示、转换与链接,袁春风,南京大学,NJU,1001625001,https://www.icourse163.org/course/NJU-1001625001
游戏开发程序设计基础,韩红雷,中国传媒大学,CUC,1450328379,https://www.icourse163.org/course/CUC-1450328379
大数据思维与技术,罗森林,北京理工大学,BIT,1461782173,https://www.icourse163.org/course/BIT-1461782173
数据库系统概论（新技术篇）,王珊,中国人民大学,RUC,1001965017,https://www.icourse163.org/course/RUC-1001965017
软硬件综合设计,薄钧戈,西安交通大学,XJTU,1002837013,https://www.icourse163.org/course/XJTU-1002837013
数字图像处理,贾永红,武汉大学,WHU,1002332010,https://www.icourse163.org/course/WHU-1002332010
计算机程序设计基础,刘卫国,中南大学,CSU,1003517003,https://www.icourse163.org/course/CSU-1003517003
Java核心技术(进阶),陈良育,华东师范大学,ECNU,1003718005,https://www.icourse163.org/course/ECNU-1003718005
计算机网络系统,傅翀,电子科技大学,UESTC,1003039003,https://www.icourse163.org/course/UESTC-1003039003
Python 语言程序设计,王小银,西安邮电大学,XIYOU,1003118004,https://www.icourse163.org/course/XIYOU-1003118004
人工智能概论,彭涛,北京联合大学,BUU,1461546165,https://www.icourse163.org/course/BUU-1461546165
信息安全,曾吉文,厦门大学,XMU,1002556003,https://www.icourse163.org/course/XMU-1002556003
Python语言程序设计,嵩天,北京理工大学,BIT,268001,https://www.icourse163.org/course/BIT-268001
自然语言处理,张岳,西湖大学,XHUN,1466082193,https://www.icourse163.org/course/XHUN-1466082193
计算机组织与结构,赖晓晨,大连理工大学,DUT,1001850005,https://www.icourse163.org/course/DUT-1001850005
编译原理,陈鄞,哈尔滨工业大学,HIT,1002123007,https://www.icourse163.org/course/HIT-1002123007
深度学习应用开发-TensorFlow实践,吴明晖,浙大城市学院,ZUCC,1206146808,https://www.icourse163.org/course/ZUCC-1206146808
计算机通信网络,卢选民,西北工业大学,NWPU,1001966032,https://www.icourse163.org/course/NWPU-1001966032
神经网络与深度学习,牟琦,西安科技大学,XUST,1206363802,https://www.icourse163.org/course/XUST-1206363802
灵境——虚拟现实技术的应用,金莹,南京大学,NJU,1207025801,https://www.icourse163.org/course/NJU-1207025801
网络空间安全概论,郭文忠,福州大学,FZU,1002765004,https://www.icourse163.org/course/FZU-1002765004
C语言程序设计,朱鸣华,大连理工大学,DUT,1001948002,https://www.icourse163.org/course/DUT-1001948002
计算机辅助设计,漆楚生,北京林业大学,BFU,1003377002,https://www.icourse163.org/course/BFU-1003377002
汇编语言程序设计,邢建川,电子科技大学,UESTC,1002047009,https://www.icourse163.org/course/UESTC-1002047009
嵌入式软件设计,赖晓晨,大连理工大学,DUT,1002607070,https://www.icourse163.org/course/DUT-1002607070
操作系统原理,田丽华,西安交通大学,XJTU,1003409001,https://www.icourse163.org/course/XJTU-1003409001
机器人基础原理,房立金,东北大学,NEU,1003431001,https://www.icourse163.org/course/NEU-1003431001
大数据技术及应用,李雁翎,东北师范大学,NENU,1207124814,https://www.icourse163.org/course/NENU-1207124814
C#程序设计,刘君瑞,西北工业大学,NWPU,493001,https://www.icourse163.org/course/NWPU-493001
数据结构,李建华,东北大学,NEU,1003734012,https://www.icourse163.org/course/NEU-1003734012
计算机组成原理,姜琳颖,东北大学,NEU,1002249011,https://www.icourse163.org/course/NEU-1002249011
大数据中的R语言编程,陈宇,青岛大学,QDU,1206499802,https://www.icourse163.org/course/QDU-1206499802
计算机科学导论,董荣胜,桂林电子科技大学,GLIET,1002091005,https://www.icourse163.org/course/GLIET-1002091005
数据库原理与应用,陈志泊,北京林业大学,BFU,1003381003,https://www.icourse163.org/course/BFU-1003381003
空中机器人,任沁源,浙江大学,ZJU,1461568162,https://www.icourse163.org/course/ZJU-1461568162
大数据分析原理和应用,海沫,中央财经大学,CUFE,1207046808,https://www.icourse163.org/course/CUFE-1207046808
C语言程序设计进阶,翁恺,浙江大学,ZJU,200001,https://www.icourse163.org/course/ZJU-200001
高级语言程序设计（Python）,车万翔,哈尔滨工业大学,HIT,9003,https://www.icourse163.org/course/HIT-9003
操作系统,李治军,哈尔滨工业大学,HIT,1002531008,https://www.icourse163.org/course/HIT-1002531008
FLASH动画设计与制作,宋麟,武汉大学,WHU,1003636002,https://www.icourse163.org/course/WHU-1003636002
高级语言程序设计（Python）CAP,车万翔,哈尔滨工业大学,HIT,1001616002,https://www.icourse163.org/course/HIT-1001616002
C语言程序设计——快速入门与提高,吕春利,中国农业大学,CAU,24005,https://www.icourse163.org/course/CAU-24005
零基础学Python语言CAP,嵩天,北京理工大学,BIT,1002058035,https://www.icourse163.org/course/BIT-1002058035
数据结构,李春葆,武汉大学,WHU,1001539003,https://www.icourse163.org/course/WHU-1001539003
Python云端系统开发入门,嵩天,北京理工大学,BIT,1001871002,https://www.icourse163.org/course/BIT-1001871002
Python游戏开发入门,嵩天,北京理工大学,BIT,1001873001,https://www.icourse163.org/course/BIT-1001873001
Python机器学习应用,礼欣,北京理工大学,BIT,1001872001,https://www.icourse163.org/course/BIT-1001872001
网页设计基础,赵慧周,北京语言大学,BLCU,1205696805,https://www.icourse163.org/course/BLCU-1205696805
数据结构,陈越,浙江大学,ZJU,93001,https://www.icourse163.org/course/ZJU-93001
Web前端开发,孙俏,北京林业大学,BFU,1003382003,https://www.icourse163.org/course/BFU-1003382003
数据库系统概论（高级篇）,王珊,中国人民大学,RUC,1001655006,https://www.icourse163.org/course/RUC-1001655006
计算机控制系统,关守平,东北大学,NEU,1001765003,https://www.icourse163.org/course/NEU-1001765003
FPGA设计与应用,王洁,大连理工大学,DUT,1003039004,https://www.icourse163.org/course/DUT-1003039004
高级语言程序设计,高克宁,东北大学,NEU,1002123005,https://www.icourse163.org/course/NEU-1002123005
大学计算机,李凤霞,北京理工大学,BIT,47004,https://www.icourse163.org/course/BIT-47004
生物大数据,何华勤,福建农林大学,FAFU,1001766004,https://www.icourse163.org/course/FAFU-1001766004
Office高级应用,张伟利,成都信息工程大学,CUIT,1002260004,https://www.icourse163.org/course/CUIT-1002260004
机器学习,胡浩基,浙江大学,ZJU,1206573810,https://www.icourse163.org/course/ZJU-1206573810
数字图像处理,郭志强,武汉理工大学,WHUT,1003535158,https://www.icourse163.org/course/WHUT-1003535158
计算机组成原理,王辉,河南科技大学,HAUST,1001796013,https://www.icourse163.org/course/HAUST-1001796013
计算机网络,袁华,华南理工大学,SCUT,1002700002,https://www.icourse163.org/course/SCUT-1002700002
旅游大数据,邓宁,北京第二外国语学院,BISU,1449949180,https://www.icourse163.org/course/BISU-1449949180
信息系统分析与设计,张富国,江西财经大学,JXUFE,1003247019,https://www.icourse163.org/course/JXUFE-1003247019
离散数学,刘铎,北京交通大学,NJTU,1002530017,https://www.icourse163.org/course/NJTU-1002530017
大学计算机——医学计算基础,卢虹冰,空军军医大学,FMMU,396003,https://www.icourse163.org/course/FMMU-396003
计算机网络与通信技术,刘彪,北京交通大学,NJTU,1003538129,https://www.icourse163.org/course/NJTU-1003538129
计算机算法与程序设计(python),戴波,电子科技大学,UESTC,1206680838,https://www.icourse163.org/course/UESTC-1206680838
基于Java的面向对象编程范式,刘钦,南京大学,NJU,1002246017,https://www.icourse163.org/course/NJU-1002246017
数据结构与算法,王曙燕,西安邮电大学,XIYOU,1002578005,https://www.icourse163.org/course/XIYOU-1002578005
C语言程序设计(上),李凤霞,北京理工大学,BIT,20019,https://www.icourse163.org/course/BIT-20019
C/C++程序设计,高枚,同济大学,TONGJI,1205704804,https://www.icourse163.org/course/TONGJI-1205704804
多媒体技术与应用,李湘梅,同济大学,TONGJI,1002215007,https://www.icourse163.org/course/TONGJI-1002215007
App Inventor-零基础Android移动应用开发,吴明晖,浙大城市学院,ZUCC,1205776807,https://www.icourse163.org/course/ZUCC-1205776807
C#程序设计,崔舒宁,西安交通大学,XJTU,1002843011,https://www.icourse163.org/course/XJTU-1002843011
微机原理与接口技术,吴宁,西安交通大学,XJTU,1001647001,https://www.icourse163.org/course/XJTU-1001647001
大学计算机,吴宁,西安交通大学,XJTU,46016,https://www.icourse163.org/course/XJTU-46016
深度学习基础,刘远超,哈尔滨工业大学,HIT,1206320802,https://www.icourse163.org/course/HIT-1206320802
微机原理与接口技术,戴胜华,北京交通大学,NJTU,1002080018,https://www.icourse163.org/course/NJTU-1002080018
